GENDER,MARITAL_STATUS,LOANTYPE,PAYMENT_TYPE,APPLY_TERM_TIME,AGE,MONTHLY_INCOME_WHITHOUT_TAX,GAGE_TOTLE_PRICE,APPLY_AMOUNT,APPLY_INTEREST_RATE,Label
Female,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,19,35000.0,492303.0,390000.0,5.265,1
Female,Unknown,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,20,10000.0,541044.0,240000.0,5.7375,1
Female,Unknown,Second-Hand,Average_Capital_Plus_Interest_Repayment,60,21,20000.0,770684.0,540000.0,5.507999999999999,1
Female,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,23,25000.0,1239492.63,530000.0,4.032,0
Female,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,23,23000.0,1166250.11,510000.0,4.896,0
Female,Single,Second-Hand,Average_Capital_Plus_Interest_Repayment,60,24,12000.0,354254.0,245000.0,6.7860000000000005,1
Female,Unknown,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,24,20000.0,2298724.2,500000.0,4.032,0
Female,Single,Frist-Hand,Matching_The_Principal_Repayment,60,25,25000.0,1735548.16,550000.0,4.032,0
Female,Single,Second-Hand,Average_Capital_Plus_Interest_Repayment,60,25,4000.0,251841.0,100000.0,4.032,0
Female,Single,Second-Hand,Average_Capital_Plus_Interest_Repayment,60,26,8200.0,287752.0,200000.0,6.426,1
Female,Unknown,Frist-Hand,Matching_The_Principal_Repayment,60,26,20000.0,538698.0,320000.0,4.896,1
Male,Married,Second-Hand,Average_Capital_Plus_Interest_Repayment,60,27,4000.0,600397.12,100000.0,5.184,0
Male,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,27,6000.0,157046.0,109000.0,6.579,1
Female,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,27,15000.0,549154.0,439000.0,6.579,1
Female,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,27,22000.0,1446803.06,400000.0,4.032,0
Female,Married,Frist-Hand,Matching_The_Principal_Repayment,60,27,13000.0,1079279.0,200000.0,4.896,1
Male,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,28,6000.0,233188.0,110000.0,4.158,1
Male,Married,Frist-Hand,Matching_The_Principal_Repayment,60,28,8000.0,1298229.47,200000.0,4.032,0
Male,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,28,5700.0,233822.0,150000.0,6.579,1
Female,Married,Second-Hand,Average_Capital_Plus_Interest_Repayment,60,28,8000.0,222069.0,160000.0,4.896,1
Male,Married,Second-Hand,Average_Capital_Plus_Interest_Repayment,60,29,7000.0,255379.0,85000.0,7.029,1
Female,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,29,100000.0,432663.0,340000.0,4.896,1
Female,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,29,100000.0,439890.0,350000.0,4.896,1
Female,Married,Frist-Hand,Matching_The_Principal_Repayment,60,29,50000.0,1471599.0,1000000.0,5.507999999999999,1
Male,Married,Frist-Hand,Matching_The_Principal_Repayment,60,30,20000.0,1118089.0,780000.0,6.579,1
Male,Single,Second-Hand,Matching_The_Principal_Repayment,60,31,3800.0,400000.0,100000.0,4.032,1
Male,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,31,23000.0,672242.79,320000.0,4.032,0
Male,Married,Frist-Hand,Matching_The_Principal_Repayment,60,31,28000.0,1862872.0,600000.0,5.507999999999999,1
Male,Unknown,Frist-Hand,Matching_The_Principal_Repayment,60,31,18178.0,792530.0,200000.0,6.579,1
Female,Married,Frist-Hand,Matching_The_Principal_Repayment,60,31,15000.0,1764795.68,640000.0,4.032,0
Male,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,31,14000.0,447524.0,350000.0,5.265,1
Female,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,32,0.0,465094.71,140000.0,4.896,0
Male,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,32,25000.0,678626.0,470000.0,6.579,1
Male,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,32,12000.0,530276.9,260000.0,4.032,0
Male,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,33,18800.0,1412814.4,300000.0,4.032,0
Female,Married,Frist-Hand,Matching_The_Principal_Repayment,60,33,110000.0,3726771.0,2600000.0,6.579,1
Male,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,34,28129588.0,301894.26,60000.0,4.896,0
Male,Married,Second-Hand,Matching_The_Principal_Repayment,60,34,7000.0,340311.0,115000.0,7.029,1
Female,Single,Frist-Hand,Matching_The_Principal_Repayment,60,34,11000.0,582936.0,400000.0,4.896,1
Male,Married,Second-Hand,Average_Capital_Plus_Interest_Repayment,60,34,9000.0,790276.86,200000.0,4.896,0
Male,Unknown,Frist-Hand,Matching_The_Principal_Repayment,60,34,25500.0,595194.0,470000.0,6.5025,1
Female,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,34,30000.0,646408.0,510000.0,6.579,1
Male,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,34,41600.0,612500.0,490000.0,6.579,1
Male,Married,Second-Hand,Average_Capital_Plus_Interest_Repayment,60,34,20000.0,873186.0,420000.0,5.507999999999999,1
Female,Married,Frist-Hand,Matching_The_Principal_Repayment,60,35,15000.0,532426.0,370000.0,5.8905,1
Male,Single,Second-Hand,Average_Capital_Plus_Interest_Repayment,60,35,13000.0,663614.9,140000.0,5.184,0
Male,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,35,50000.0,1732980.0,1380000.0,5.507999999999999,1
Male,Married,Second-Hand,Average_Capital_Plus_Interest_Repayment,60,35,40000.0,2007940.0,800000.0,6.579,1
Male,Married,Second-Hand,Average_Capital_Plus_Interest_Repayment,60,35,25000.0,291826.0,195000.0,5.507999999999999,1
Female,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,35,6000.0,202117.0,140000.0,5.265,1
Female,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,35,13500.0,1437490.0,800000.0,6.273,1
Male,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,35,25000.0,1174407.87,580000.0,4.896,0
Male,Single,Frist-Hand,Matching_The_Principal_Repayment,60,35,15000.0,1612679.98,200000.0,4.896,0
Male,Unknown,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,35,8000.0,219881.0,170000.0,5.8905,1
Female,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,35,35000.0,345695.0,270000.0,5.265,1
Female,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,35,12800.0,1317952.33,365000.0,4.032,0
Male,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,36,18800.0,582509.0,460000.0,6.579,1
Female,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,36,0.0,1808421.0,1260000.0,6.579,1
Female,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,36,20000.0,938083.8,430000.0,4.896,0
Male,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,36,8000.0,563458.0,280000.0,5.265,1
Female,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,36,13500.0,724719.73,330000.0,4.032,0
Female,Married,Second-Hand,Average_Capital_Plus_Interest_Repayment,60,37,20000.0,531312.0,160000.0,5.346,1
Female,Married,Frist-Hand,Matching_The_Principal_Repayment,60,37,25000.0,1152168.81,200000.0,4.032,0
Male,Married,Second-Hand,Average_Capital_Plus_Interest_Repayment,60,37,16000.0,422532.0,220000.0,6.579,1
Female,Married,Second-Hand,Average_Capital_Plus_Interest_Repayment,60,37,5000.0,386895.0,200000.0,5.507999999999999,1
Male,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,37,20000.0,919754.0,640000.0,5.0489999999999995,1
Female,Married,Second-Hand,Average_Capital_Plus_Interest_Repayment,60,38,30000.0,1306650.0,1000000.0,6.5025,1
Female,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,38,116000.0,378142.0,260000.0,6.579,1
Male,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,38,0.0,926215.0,640000.0,5.507999999999999,1
Female,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,38,21680.0,783093.0,500000.0,5.8905,1
Male,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,39,50000.0,414664.0,290000.0,7.15275,1
Female,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,39,7000.0,344942.0,190000.0,6.426,1
Male,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,39,5000000.0,492303.0,390000.0,5.265,1
Male,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,39,8000.0,1184748.99,300000.0,4.896,0
Female,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,40,60000.0,4492350.88,1520000.0,4.032,0
Male,Single,Second-Hand,Matching_The_Principal_Repayment,60,40,5000.0,357000.0,249000.0,6.6555,1
Female,Married,Second-Hand,Average_Capital_Plus_Interest_Repayment,60,40,8333.333333,1152195.0,800000.0,5.8905,1
Male,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,41,28000.0,863946.0,690000.0,6.5025,1
Male,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,41,43000.0,1489027.04,600000.0,4.032,0
Female,Single,Frist-Hand,Matching_The_Principal_Repayment,60,41,10000.0,310693.0,240000.0,6.579,1
Female,Unknown,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,41,35000.0,461482.0,369000.0,5.265,1
Female,Unknown,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,42,60000.0,1735493.0,1360000.0,6.5025,1
Male,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,42,25000.0,472783.0,378000.0,4.896,1
Male,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,42,22000.0,705345.0,350000.0,6.5025,1
Female,Divorce,Second-Hand,Average_Capital_Plus_Interest_Repayment,60,42,8500.0,118165.0,90000.0,4.896,1
Male,Married,Second-Hand,Average_Capital_Plus_Interest_Repayment,60,43,12500000.0,600994.0,400000.0,4.896,0
Male,Married,Second-Hand,Average_Capital_Plus_Interest_Repayment,60,43,7800.0,534787.13,220000.0,5.184,0
Male,Married,Second-Hand,Average_Capital_Plus_Interest_Repayment,60,44,15000.0,740194.0,500000.0,4.896,1
Male,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,44,18000.0,494674.76,240000.0,4.896,0
Male,Married,Second-Hand,Average_Capital_Plus_Interest_Repayment,60,45,13000.0,735660.5,300000.0,4.032,0
Female,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,45,50000.0,1686216.89,750000.0,4.896,0
Female,Unknown,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,46,20000.0,867082.78,400000.0,4.032,0
Male,Married,Second-Hand,Matching_The_Principal_Repayment,60,46,26000.0,364108.0,140000.0,6.8625,1
Male,Married,Frist-Hand,Matching_The_Principal_Repayment,60,47,208333.3333,569811.0,390000.0,4.896,0
Male,Married,Second-Hand,Average_Capital_Plus_Interest_Repayment,60,48,8600.0,600000.0,250000.0,5.0489999999999995,1
Female,Single,Frist-Hand,Matching_The_Principal_Repayment,60,49,0.0,1725016.0,1380000.0,4.032,1
Male,Married,Second-Hand,Average_Capital_Plus_Interest_Repayment,60,49,18000.0,1738146.46,300000.0,4.896,0
Male,Married,Second-Hand,Average_Capital_Plus_Interest_Repayment,60,51,16500.0,269950.0,100000.0,4.896,0
Male,Married,Second-Hand,Average_Capital_Plus_Interest_Repayment,60,51,6000.0,607406.87,170000.0,4.032,0
Male,Married,Second-Hand,Average_Capital_Plus_Interest_Repayment,60,51,10000.0,201999.0,140000.0,6.579,1
Female,Married,Frist-Hand,Matching_The_Principal_Repayment,60,52,15000.0,610561.0,250000.0,6.579,1
Male,Married,Second-Hand,Average_Capital_Plus_Interest_Repayment,60,53,5500.0,502316.78,215000.0,5.184,0
Male,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,60,55,15000.0,604251.0,420000.0,6.579,1
Male,Married,Second-Hand,Average_Capital_Plus_Interest_Repayment,60,56,8200.0,560998.15,160000.0,4.896,0
Male,Single,Second-Hand,Average_Capital_Plus_Interest_Repayment,120,20,10000.0,565313.0,450000.0,5.814,1
Male,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,20,10000.0,633934.0,440000.0,6.6555,1
Female,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,22,4000.0,458767.0,160000.0,4.158,1
Male,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,23,10000.0,666761.0,460000.0,6.6555,1
Male,Single,Frist-Hand,Matching_The_Principal_Repayment,120,23,10000.0,1177387.56,550000.0,5.0489999999999995,0
Female,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,23,11000.0,702868.75,268000.0,4.158,0
Female,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,24,9000.0,734790.04,350000.0,4.158,0
Female,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,24,6000.0,491716.0,100000.0,5.814,1
Male,Unknown,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,24,8500.0,936996.06,340000.0,4.158,0
Male,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,24,4600.0,374907.0,170000.0,6.6555,1
Female,Unknown,Frist-Hand,Matching_The_Principal_Repayment,120,24,8000.0,497472.0,390000.0,6.6555,1
Male,Single,Second-Hand,Average_Capital_Plus_Interest_Repayment,120,25,6000.0,669179.95,150000.0,4.158,0
Male,Single,Second-Hand,Average_Capital_Plus_Interest_Repayment,120,25,6500.0,476354.85,200000.0,4.158,0
Female,Married,Second-Hand,Average_Capital_Plus_Interest_Repayment,120,25,12800.0,696739.78,270000.0,4.158,0
Female,Married,Frist-Hand,Matching_The_Principal_Repayment,120,25,80000.0,1952860.16,920000.0,4.158,0
Female,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,25,15600.0,361228.0,280000.0,5.0489999999999995,1
Male,Single,Frist-Hand,Matching_The_Principal_Repayment,120,25,8500.0,443702.0,190000.0,5.814,1
Male,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,25,6000.0,491707.0,280000.0,6.6555,1
Male,Single,Second-Hand,Matching_The_Principal_Repayment,120,25,80000.0,450000.0,100000.0,5.202000000000001,1
Male,Single,Second-Hand,Average_Capital_Plus_Interest_Repayment,120,26,4500.0,427220.27,130000.0,5.346,0
Male,Unknown,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,26,10000.0,624059.08,200000.0,5.0489999999999995,0
Female,Single,Second-Hand,Average_Capital_Plus_Interest_Repayment,120,26,7000.0,235127.0,140000.0,6.12,1
Male,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,26,20000.0,420000.0,330000.0,5.814,1
Male,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,26,6800.0,768710.75,298000.0,4.158,0
Female,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,26,4600.0,575084.95,210000.0,4.158,0
Female,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,26,5500.0,936972.67,150000.0,4.158,0
Female,Single,Second-Hand,Average_Capital_Plus_Interest_Repayment,120,27,6000.0,359875.0,180000.0,6.426,1
Female,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,27,3100.0,188419.0,141000.0,5.0489999999999995,1
Female,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,27,23000.0,1340233.0,1070000.0,6.12,1
Male,Single,Second-Hand,Matching_The_Principal_Repayment,120,27,5250.0,539676.9,190000.0,4.158,0
Male,Single,Frist-Hand,Matching_The_Principal_Repayment,120,27,10000.0,701847.0,500000.0,5.0489999999999995,1
Female,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,27,7000.0,858246.3,280000.0,4.158,0
Female,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,28,5000.0,244248.0,120000.0,5.814,1
Female,Single,Second-Hand,Average_Capital_Plus_Interest_Repayment,120,28,4850.0,571910.93,120000.0,5.346,0
Male,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,28,8000.0,683547.26,350000.0,5.0489999999999995,0
Female,Unknown,Second-Hand,Average_Capital_Plus_Interest_Repayment,120,28,50000.0,2640000.0,1500000.0,6.6555,1
Male,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,28,12000.0,1504780.41,620000.0,4.158,0
Male,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,28,7000.0,749673.87,190000.0,5.0489999999999995,0
Male,Single,Frist-Hand,Matching_The_Principal_Repayment,120,28,12000.0,1161559.81,500000.0,4.158,0
Male,Single,Second-Hand,Average_Capital_Plus_Interest_Repayment,120,29,7000.0,373143.0,260000.0,6.6555,1
Male,Single,Frist-Hand,Matching_The_Principal_Repayment,120,29,5500.0,710303.18,190000.0,4.032,0
